得意先[    100]-[ 200000] ＊＊ 得意先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/22(13:51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得意先CD,得意先名ｶﾅ,得意先名,得意先(略),郵便番号,住所1,住所2,E-mail,備考,電話番号,FAX番号,担当者CD,担当者名,請求先CD,売上区分,税区分(売掛),税端数(売掛),税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,合計請求書,請求明細書,入金予定日,入金方法,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数,登録日,最終更新日
30844,ブレーキアウェーマッチャ,Break away Matcha,Break away Matcha,,1218 San Anslmo AveSan Anselmo CA 94960,,,,+1 415 613 6381,,98,ラファエル,30844,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/2/13,2023/10/2
30845,カノヤシリツオオアイラショウガッコウ,鹿屋市立大姶良小学校,鹿屋市立大姶良小学校,,鹿屋市田淵町1950番地,,,,0994-48-3100,,400,前田,30845,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/2/17,2024/7/31
30846,ウィンディシティーオーガニック,Windy City Organics LLC　アメリカ,Windy City Organics,,3865 Commercial Ave Northbrook IL 60062,,,,+1 (224) 723-573,,91,下平,30846,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/2/22,2023/10/2
30847,パノラマテブル,Panorama Table株式会社,Panorama Table株式会,610-0116,京都府城陽市奈島川原口9-1,,旧電話番号090-4060-2845,旧156-0044東京都世田谷区赤堤4丁目16番17号,0774-52-5863,,98,ラファエル,30847,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2023/3/6,2023/10/2
30848,チャセキ,茶石,茶石,250-0401,神奈川県足柄下郡箱根町宮城野921‐13有限会社　箱根清掃公社,　　　　　　　　　　　　　　　　　　　　　　　稲葉様,,,0460-83-8816,,95,林(香),30848,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2023/3/8,2024/5/14
30849,ホリグチコーヒー,株式会社堀口珈琲,株式会社堀口珈琲,156-0055,東京都世田谷区船橋1-12-15,,,,03-5477-4142,03-5477-4143,690,金城,30849,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,2 小切手,1 個別単価,,,3,2023/3/14,2024/2/17
30850,ノウリンスイサンショウダイジンカンボウ,農林水産省大臣官房 予算課経理調査官,農林水産省大臣官房,100-8950,東京都千代田区霞が関1丁目2番1号,,,農産局農業環境対策課GAP推進グループ吉泉沙織様,03-6744-7188,,95,林(香),30850,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2023/3/15,2023/10/2
30851,ティーグレース,株式会社ティーグレース,株式会社ﾃｨｰｸﾞﾚｰｽ,251-0033,神奈川県藤沢市片瀬山3-25-4,,,携帯090-4092-5046,0466-50-5527,,95,林(香),30851,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2023/3/15,2023/10/2
30852,サンタトレーディング,サンタトレーディング有限会社,ｻﾝﾀﾄﾚｰﾃﾞｨﾝｸﾞ(有),462-0821,愛知県名古屋市北区平安2-8-19,,,,052-913-1581,,91,下平,30852,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/3/15,2024/9/5
30853,カンポセイメイホケン　カゴシマシテン,株式会社　かんぽ生命保険　鹿児島支店,かんぽ生命,,,,,,,,439,末永,30853,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/3/22,2024/9/5
30854,コシノクニ,株式会社　越の国,株式会社 越の国,943-0831,新潟県上越市仲町3-1-9多賀茶焙煎所,,,,025-526-7570,025-526-7570,690,金城,30854,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/3/27,2024/2/17
30856,グラムスリー,株式会社グラムスリー,株式会社グラムスリー,105-0013,東京都港区浜松町２丁目１－１３ 芝エクセレントビル,,,,03-6826-8350,03-6402-0302,690,金城,30856,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/3/31,2024/11/22
30857,イモト,井本,井本,810-0022,福岡県福岡市中央区薬院4-15-29 香ビル1F,,,,050-5493-2679,,95,林(香),30857,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/4/5,2023/10/2
30858,コクリツケンキュウカイハツホウジンノウ,国立研究開発法人農業･食品産業技術総合研究機構,国立研究開発法人農業,305-8517,茨城県つくば市観音台3-1-1,,,,029-838-6952,,95,林(香),30858,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/4/6,2023/10/2
30859,ミナモ,株式会社　みなも,みなも,530-0003,阪府大阪市北区堂島1丁目5-4はつ根ビルB1,,,,06-6345-0552,,690,金城,30859,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/4/12,2024/2/17
30860,ジェーティービーコミュニケーションデザイ,株式会社JTBコミュニケーションデザイン,株式会社JTBｺﾐｭﾆｹｰｼｮﾝ,105-8335,東京都港区芝2-23-1,セレスティン芝三井ビルディング12F,,,03-5657-0609,,95,林(香),30860,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/4/18,2023/10/2
30861,ボンズ,株式会社bonds,株式会社bonds,116-0011,東京都荒川区西尾久2-37-3,,,,03-5901-9164,,690,金城,30861,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2023/4/24,2024/2/17
30862,アグリサポートカゴシマ,株式会社アグリサポートかごしま,株式会社ｱｸﾞﾘｻﾎﾟｰﾄか,899-7512,鹿児島県志布志市有明町野神3581-1,,,,080-1540-8880,,690,金城,30862,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/5/4,2024/2/17
30863,メゾン　ジャセント,Maison　Jacynthe　Inc.,Maison　Jacynthe　In,,1955Chemin FontarabieLaprairieQcJ5R 0K3,,,, +1（514）245-00,,91,下平,30863,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/5/15,2023/10/2
30864,モナコ　イーエムユー,MONACO EMU,MONACO EMU,,20 RUE BASSE 98000 MONAKO,,,,00377 99 92 08 8,,91,下平,30864,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/5/25,2023/10/2
30865,ユーロ・ジャパン・クロッシング,Euro Japan Crossing,Euro Japan Crossing,,62 rue Amelot 75011 paris  France,,,, +33 1 42 63 59,,91,下平,30865,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/5/25,2023/10/2
30866,セブンティープラス,７Ｔ＋,7T+,600-8052,京都府京都市下京区綾小路富小路東入 塩屋町73番地1,,,,075-708-7199,,95,林(香),30866,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/5/30,2023/10/2
30867,タケサン,タケサン株式会社,ﾀｹｻﾝ株式会社,761-4411,香川県小豆郡小豆島町安田甲　,103番地1,,,0879-82-5656,,91,下平,30867,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/6/8,2024/9/5
30868,ハーブフォルク,Herb and Folk,Herb and Folk,,524 Bryce Canyon Ct Petaluma CA 94954,,,, +1 (707) 364-70,,98,ラファエル,30868,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/6/9,2023/10/2
30869,アサクサバシ　ウラオニカイ,浅草橋うらおにかい,浅草橋うらおにかい,111-0053,東京都台東区浅草橋1-20-1　　　大原第２ビル1F　　　　　　　　,,,,03-3865-2323,,95,林(香),30869,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/6/16,2023/10/2
30870,エナカワカミヤザイムケイ,株式会社恵那川上屋　財務経理部,株式会社恵那川上屋　,509-7201,岐阜県恵那市大井町2632-121　,,,旧→〒509-7201 岐阜県恵那市大井町2632-105,0573-25-9610,0573-22-9020,95,林(香),30870,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後20日払,3 振込,1 個別単価,,,2,2023/6/20,2024/9/5
30871,イーエヌシー,有限会社イーエヌシー,有限会社ｲｰｴﾇｼｰ,104-0032,東京都中央区八丁堀1-3-9　坂根八重洲ビル４階,,,,03-3537-2889,,91,下平,30871,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/6/21,2024/2/17
30872,ヴェリティ,株式会社Veritea,株式会社Veritea,141-0022,東京都品川区東五反田2-19-4,,,,090-7250-0303,,95,林(香),30872,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/6/23,2024/2/17
30873,タナカチュウキンドウ,田中忠金堂,田中忠金堂,,京都市東山区清水2丁目232-3,,,,075-561-4508,,95,林(香),30873,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/7/9,2023/10/2
30874,ザグリットノースカフェ,The Great North Cafe,The Great North Cafe,,2909 NE Alberta StPortland OR 97211,,,,1 503 896 9837,,98,ラファエル,30874,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/7/12,2023/10/2
30875,テンジン,Tenjin,Tenjin,,39 rue de bretagne75003,,,旧　Chez Taeko  (シェタエコ),33668243334,,98,ラファエル,30875,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/7/12,2024/11/23
30876,ニホンチャギョウチュウオウカイ,公益社団法人 日本茶業中央会,公益社団法人 日本茶,105-0021,東京都港区東新橋2丁目8-5,,,,03-3434-2001,,690,金城,30876,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/7/26,2024/2/17
30877,クワハルド　ジュブラン_サウジアラビア,khalid jubran anosi,khalid jubran anosi,,Short addressGNSA3115Building nombe3115District6733 al,,,,　966 55 008 856,,91,下平,30877,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/8/4,2023/10/2
30878,ジェイエイアオゾラチャギョウセンター,JAあおぞら　茶業センター,JAあおぞら　茶業セン,899-7512,鹿児島県志布志市有明町野神3205,,,,099-475-2185,,690,金城,30878,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/8/4,2023/10/2
30879,ジェイエイゼンノウインターナショナル,JA全農インターナショナル株式会社,JA全農インターナショ,101-0047,東京都千代田区内神田1-2-10（羽衣ビル7階）,,,,03-6271-8422,03-5577-7091,690,金城,30879,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/8/10,2024/9/5
30880,リパブリックオブティ,The Republic of Tea,The Republic of Tea,,＋１866-615-0145 Ext 280,,,,1106,,98,ラファエル,30880,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/8/13,2023/10/2
30881,アンコーラ　パシフィック,Ancora Pacific GmbH_ドイツ,Ancora Pacific GmbH_,,Lindenstrasse 11841844 Wegberg Germany,,,, +49-2434-509-79,,91,下平,30881,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/8/14,2023/10/2
30882,キョウワショウコウ,協和商工株式会社,協和商工株式会社,857-1164,長崎県佐世保市白岳町151番地,,,,0956-31-7102,,90,丸山,30882,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/8/31,2024/9/5
30883,ウキハノタカラ,うきはの宝株式会社,うきはの宝株式会社,839-1415,福岡県うきは市浮羽町妹川4333-1,旧妹川保育所,,,0943-76-9688,,95,林(香),30883,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/9/22,2024/9/5
30884,ルピシア,株式会社ルピシア,株式会社ルピシア,150-0043,東京都渋谷区道玄坂1-10-7 五島育英会ビル6F(経理部）,,,,03-6712-7542,03-6683-3168,690,金城,30884,1 売掛,1 締時一括,3 切り上げ,3 明細単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/9/27,2024/2/17
30885,カゴシマレブナイズ,株式会社鹿児島レブナイズ,株式会社鹿児島レブナ,892-0853,鹿児島県鹿児島市城山町１－６　　　MBC城山ビル　２F,,,,099‐201‐5811,099‐202‐5822,95,林(香),30885,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2023/9/30,2024/2/17
30886,モチ　クリマリー,Mochi Creamery Ltd　　　,Mochi Creamery Ltd　,,86‐90　Paul StreetLondon EnglandUnited KingdomEC2A 4NE,,,,4.40795E+12,,91,下平,30886,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/10/6,2023/10/6
30887,パンジェンシー,Pungency,Pungency,690-0888,島根県松江市北堀町168,,,,0852-78-2682,,95,林(香),30887,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2023/10/15,2023/10/15
30888,アジアネットワーク,株式会社アジアネットワーク,株式会社 ｱｼﾞｱﾈｯﾄﾜｰｸ,533-0031,大阪市東淀川区西淡路1丁目1-28-705,,,,06-7160-9903,050-3398-7706,94,堀口(崇),30888,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/10/25,2024/2/17
30889,トウキョウ エムビー,株式会社Tokyo MB,株式会社Tokyo MBB,105-0021,東京都港区東新橋2-9-7YAHATA汐留ビル２F,,,,03-6342-0406,03-5404-4532,690,金城,30889,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2023/10/27,2024/2/17
30890,ノウリンスイサンショウショクインセイカツ,農林水産省職員生活協同組合,農林水産省職員生活協,103-0001,東京都中央区日本橋小伝馬町7-18ニッケイビル５F,,,,03-6667-0144,03-6667-0140,95,林(香),30890,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/10/30,2023/10/30
30891,サボエ,SABOE株式会社,SABOE株式会社,102-0084,東京都千代田区二番丁町12-8 ロイヤルビルディング3F,,,,03-6261-9770,,95,林(香),30891,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2023/10/31,2024/9/5
30892,Emiy Nishimoto,Emiy Nishimoto,Emiy Nishimoto,,928A 19th Ave. Honolulu. Hawaii 96815,,,,1 808 469 1006,,91,下平,30892,1 売掛,4 無処理,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/11/15,2024/1/17
30893,チャティコウチャキョウシツ,Cha Tea紅茶教室,Cha Tea紅茶教室,116-0013,東京都荒川区西日暮里3-3-11,,,,03-5832-9728,,95,林(香),30893,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2023/12/6,2023/12/6
30894,二ホンティーインストラクターカイジムキョ,日本ティーインストラクター会　事務局,日本ﾃｨｰｲﾝｽﾄﾗｸﾀｰ会 事,105-0021,東京都港区東新橋2-8-5,東京茶業会館６Ｆ,,,03-3431-6544,,95,林(香),30894,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/12/13,2023/12/13
30895,ワイアンドビートレーディング タイ,Y & B Trading Co Ltd　タイ,Y & B Trading Co Ltd,,83 /1 Moo 1 Thalor Thamuang Kanchanaburi 71000 THAILAND,,,,66 875905805,,91,下平,30895,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/12/22,2023/12/25
30896,サケワインショクドウキョウドウ？,酒ワイン食堂 今日どう？,酒ﾜｲﾝ食堂 今日どう?,156-0051,東京都世田谷区宮坂２ー１９ー１吉村商店ビル１F,,,,03-6413-6396,,95,林(香),30896,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/1/20,2024/1/20
30897,マツヤマショウガッコウ,松山小学校,松山小学校,,,,,,,,345,瀬口,30897,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/2/22,2024/2/22
30898,サトウ(チョクバイチュウモン),佐藤,佐藤,,,,,顧客登録資料2023年度25番目の方,090-5932-9110,,95,林(香),30898,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/2,2024/3/2
30899,ニシマタショウガッコウ,西俣小学校,西俣小学校,,,,,,,,400,前田,30899,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/12,2024/7/31
30900,テロワール・アンド・トラディション・ジャ,株式会社テロワール・アンド・トラディション・ジャパン,株式会社テロワール・,171-0031,東京都豊島区目白 3－13－20 DAIGO20,,,,03-3565-8180,,91,下平,30900,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/20,2024/3/20
30901,トウキョウスリジエ,東京スリジエ,東京スリジエ,101-0048,東京都千代田区内神田2‐9‐10,,,,080-1066‐1044,,95,林(香),30901,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/22,2024/3/22
30902,コキュウ,KoQueue.LTD,KoQueue.LTD,,71-75 Shelton Street Covent Garden London WC2H 9JQ United,,,,-750674,,95,林(香),30902,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/23,2024/3/27
30903,ウフ,ufu株式会社,ufu株式会社,104-0061,東京都中央区銀座6‐13‐9　　GIRAC GINZA 8F,,,,03-6324-1835,,95,林(香),30903,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/28,2024/9/5
30904,シーポイントアジア,株式会社シーポイントアジア,株式会社ｼｰﾎﾟｲﾝﾄｱｼﾞｱ,901-1303,沖縄県島尻郡与那原町字与那原５６７,,,,090-2501-0261,,690,金城,30904,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/4/22,2024/9/5
30905,ニホンノウギョウ,株式会社　日本農業,株式会社　日本農業,141-0031,東京都品川区西五反田1-13-7マルキビル101,,,,03-6431-8614,,690,金城,30905,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/4/24,2024/9/5
30906,クラフテッドジャパン,株式会社CRAFTED JAPAN,株式会社CRAFTED JAPA,225-0011,神奈川県横浜市青葉区あざみ野4-18-32,,,,080-8808-8933,,95,林(香),30906,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/5/11,2024/9/5
30907,クリムソン　フォレスト,Crimson Forest,Crimson Forest,251-0038,神奈川県藤沢市鵠沼松が岡4-10-26,,,,070‐4071‐4939,,95,林(香),30907,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/5/14,2024/9/8
30908,カイセキ　エヌワイシーヤマダ,Kaiseki NYC LLC　Yamada,Kaiseki NYC LLC　Yam,,16Elizabeth StreetNew York NY 10013,,,, 1-646-429-8759,,91,下平,30908,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2024/5/14,2024/5/14
30909,キュービストアマミ,株式会社キュービスト奄美,株式会社ｷｭｰﾋﾞｽﾄ奄美,894-0016,鹿児島県奄美市名瀬古田町2-1,,,,0997-53-9415,,690,金城,30909,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2024/5/20,2024/9/5
30910,ショチャ,Shocha,Shocha,,Lange Str 1318055 Rostock　Germany,,,,+49 176 62304658,,98,ラファエル,30910,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2024/5/24,2024/5/24
30911,アールビーサポートショウワロマン,株式会社アールビーサポート 昭和ろまん,株式会社アールビーサ,514-2211,三重県津市芸濃町椋本6177-1,,,,,,95,林(香),30911,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/5/28,2024/9/5
30912,アールビーサポートアノツロマン,株式会社アールビーサポート 安濃津ろまん,株式会社アールビーサ,514-0824,三重県津市神戸154－9,,,,,,95,林(香),30912,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/5/28,2024/9/5
30913,アールビーサポート,株式会社アールビーサポート,株式会社ｱｰﾙﾋﾞｰｻﾎﾟｰﾄ,514-2211,三重県津市芸濃町椋本6177-1,,,,059‐265‐6510,,95,林(香),30913,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/5/28,2024/9/5
30914,シャカイフクシホウジンイロドリﾌｸｼカイ,社会福祉法人いろどり福祉会,社会福祉法人いろどり,514-2211,三重県津市芸濃町椋本3805‐2,,,,059‐265‐6600,,95,林(香),30914,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/6/1,2024/6/1
30915,イリョウホウジンフシュウカイ,医療法人府洲会,医療法人府洲会,514-2211,三重県津市芸濃町椋本6176,,,,059‐265‐6500,,95,林(香),30915,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/6/1,2024/6/1
30916,トーシンサンギョウ,トーシン産業株式会社,ﾄｰｼﾝ産業株式会社,113-0033,東京都文京区本郷３－１５－２－３F,,,,03‐3816‐3721,,91,下平,30916,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/6/1,2024/9/5
30917,スシトワイン　オモテサンドリア,寿司とワイン　オモテサンドリア,寿司とﾜｲﾝ ｵﾓﾃｻﾝﾄﾞﾘｱ,150-0001,東京都渋谷区神宮前5-51-8ラポルト青山B1F,,,,03-6712-6726,,95,林(香),30917,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/6/1,2024/6/1
30918,ニホンチャチャバ,CIABA JAPONSKA ZIELONA HERBATA,CIABA JAPON SKA ZIEL,135-0051,東京都江東区枝川3-10-20-703,,,,080-7736-6180,,690,金城,30918,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/6/7,2024/12/13
30919,ココロサス,株式会社ココロサス,株式会社ｺｺﾛｻｽ,899-7103,鹿児島県志布志市志布志町志布志2-8-45,,,,090-8849-8993,,690,金城,30919,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/6/8,2024/9/5
